date,ex_mkt,NYSELW,NasdaqGSTSCO,NYSETDOC,NYSEBMY,NYSEUNH,NYSETWLO,NYSENSC,NYSESCHW,NYSEMAS,NYSEMTD,NYSEMO,AMEXLNG,NYSEPFE,NYSERF,NYSEPRU,NasdaqGSEA,NasdaqGSWDC,NasdaqGSODFL,NYSEBDX,NasdaqGSTXN,NYSEINVH,NYSEHPE,NYSESLB,NYSEAAP,NYSEPSX,NYSEABBV,NasdaqGSTRMB,NYSEMET,NasdaqGSTMUS,NYSEMOH,NYSELDOS,NasdaqGSCHRW,NYSEUSB,NYSEBK,NYSENUE,NYSECOF,NYSENRG,NYSEBA,NasdaqGSOKTA,NYSEALL,NYSERPM,NYSEAME,NYSEPPG,NasdaqGSCPRT,NYSETEL,NYSEIT,NYSEEXR,NasdaqGSVRSN,NasdaqGSNLOK,NYSEWM,NYSEROK,NasdaqGSSBUX,NYSEABC,NYSEMMC,NYSEHII,NasdaqGSISRG,NYSEEOG,NYSENVR,NYSETIF,NYSEHCA,NasdaqGSFAST,NYSEDE,NYSESTT,NYSEVTR,NasdaqGSMNST,NYSEFE,NasdaqGSILMN,NYSEL,NasdaqGSROKU,NasdaqGSSPLK,NYSEMRK,NasdaqGSEXC,NasdaqGSNFLX,NYSEHRL,NasdaqGSGILD,NasdaqGSWDAY,NasdaqGSPAYX,NYSEBX,NYSEBRO,NYSEAFL,NYSENOC,NYSEMKC,NYSEC,NYSECFG,NYSETMO,NasdaqGSNVDA,NasdaqGSCTAS,NasdaqGSHAS,NYSEWAB,NYSEDHI,NYSEGLW,NYSEPEAK,NYSECL,NYSEATUS,NYSEKKR,NYSERMD,NasdaqGSINTC,NasdaqGSQCOM,NYSEBKR,NYSEFTV
31jan2017,.019400001,-.007906273,-.028261796,.21208788,-.15327384,.012838454,-.00072657422,.086854793,.044810854,.045273948,.019247057,.052613817,.15009943,-.023124434,.0034485417,.010056991,.05926073,.17332944,.028991021,.070881799,.041758616,,-.019912299,-.0028921803,-.028888583,-.055466734,-.014300468,-.017612107,.0096159624,.082734883,.04530393,-.055176087,.038186692,.024883928,-.051958468,-.024058865,.0016860617,.35153428,.049684033,,.01467255,-.023584222,.051406998,.055369791,.023969553,.073147953,-.0169523,-.067226507,.054390222,.15316883,-.019917693,.10108274,-.0054368004,.11622194,.0113864,.053009722,.092244759,.0063210428,.11320813,.016626878,.0845384,.064226113,.038883593,-.019590726,-.013628977,-.039275553,-.021021387,.25035718,-.0053717955,,.13114946,.052964799,.010955677,.13655794,.047850009,.011696867,.25719169,-.0022209517,.13315201,-.060889337,.0055701383,-.015081918,.023753228,-.060608808,.01902796,.079980843,.022825947,.0047260998,.067233294,.043570608,.094368428,.09143766,.020155093,-.0074707605,,.12797183,.088443704,.015130718,-.18055481,-.029123681,.031292412
28feb2017,.035700001,.048949558,-.034291919,.10246667,.15354683,.020201087,.10020947,.035739023,-.018179869,.025156338,.11620322,.052509509,.0083612101,.086244896,.059647404,.058709681,.036763974,-.035778977,.039386705,.032455809,.014263717,,.0061395029,-.034174532,-.046489742,-.034461059,.011912338,.047569636,-.029090121,.004142032,-.14477946,.10302959,.056632459,.044601057,.053845491,.077088371,.078932762,.0011758935,.11231717,,.097415626,.019675801,.05613105,.028213657,.042264868,.0064983498,.038714655,.099064514,.028142704,.039724518,.054930687,.026095761,.034487925,.052645322,.080237173,.1264876,.063934676,-.045219392,.04139293,.16701443,.086663231,.0070117568,.022759756,.046029657,.054774504,-.027263381,.082570627,.045563169,.0098904874,,.066852249,.062557414,.032757789,.010058345,-.028958933,-.027224503,-.0019589562,.018709419,-.020849898,.026279354,.040076852,.078585491,.030003292,.074321359,.033143323,.034680229,-.06938602,.016330454,.17400618,-.074214719,.073431939,.048141778,.094623983,.1300379,,.047782861,.071594089,-.0098532932,.06693349,-.04181841,.043530326
31mar2017,.0017,.07320796,-.027383626,.13376184,-.041111235,-.0046123811,-.089873672,-.074882463,.0098735504,.0061917226,.0056236498,-.039074,-.016258091,.0026127589,-.044412877,-.034944493,.034888305,.080170445,-.066496357,.0060985554,.051397607,.0018106914,.041564215,-.028148443,-.052966386,.013148035,.053661931,.03155734,.0072213877,.032919187,-.060012631,-.034700982,-.032932907,-.058660761,.001884204,-.039552089,-.076734997,.12920201,-.018723331,,-.008179822,.032626543,.0037016801,.025846325,.047151193,.0010492544,.046288341,-.050731711,.056237884,.073828697,.00036770914,.030484594,.026702611,-.032917585,.0055547566,-.081071347,.039961435,.0057487916,.088818759,.042495891,.020034602,.02935735,-.00024152405,.0035288157,.011905193,.11411593,-.018834738,.019329838,-.004494986,,.0090467641,-.028436638,-.01991058,.039938413,-.017613668,-.02893226,.0041954271,-.041053999,.0053913598,-.032043587,.00094250153,-.033925239,-.0088646505,.00014220392,-.075486578,-.024982244,.07338848,.07225702,.030428186,-.0264853,.040912483,-.022118436,-.046075597,.0028525046,,.011067611,-.00085798057,-.0036161556,.015201624,-.0076560359,.044554349
30apr2017,.0109,-.0030092683,-.102405,-.0080416668,.038146805,.066234782,.14474531,.049257249,-.048069131,.092318803,.072017804,.0049989405,-.040659394,-.0085187359,-.053723715,.0032391739,.059162978,.079202242,.034433037,.019201683,-.011075304,-.01286806,.048250657,-.070592247,-.041320503,.0042501832,.021996651,.10679995,-.019163212,.041450825,.091844298,.029680662,-.059428394,-.004313508,.00038436591,.026917482,-.072508775,-.094726622,.045022223,,-.0024959508,-.039362505,.057650641,.045257155,-.0021408109,.037785303,.056445044,.015282976,.020736659,.030923173,-.0019615833,.010490734,.028559117,-.072923012,.0078739515,.003204437,.090503298,-.050195921,.0020324904,-.038341772,-.053755559,-.12635648,.025220141,.053846024,-.015878076,-.017152345,-.059124019,.083291672,-.0032488375,,.032387294,-.019084787,-.037562516,.029658623,.01800593,.0092339488,.049429994,.0064099552,.068059102,.028242156,.033926856,.034098931,.028853586,-.0091053452,.062476408,.076325521,-.04254603,-.032205418,-.0015214841,.075471148,-.012650483,.068476848,.0021961664,-.010431574,,.04109931,-.055342488,.0021762378,-.062825054,-.0075642471,.050439898
31may2017,.0106,.11156677,-.10505492,.23382097,-.037516549,.0016654588,-.26449782,.06108873,-.00064987398,.0061628609,.13510251,.050939139,.074260913,-.028174073,.0064954017,-.013264038,.19516198,.011064855,.0089874975,.012037496,.041753482,.0013305097,.0096118711,-.034490004,-.059920553,-.034981802,.001163229,.017167047,-.016042832,.0021798203,.29679674,.055020265,-.072109431,-.0076553016,.0012249836,-.052715909,-.03838554,-.049754135,.022870425,.0018693857,.062073253,.031723205,.066733219,-.028216409,.0093351137,.024473216,.048245206,.025635159,.01389512,-.041782547,.0017362111,.013543352,.06342034,.12316602,.046220057,-.022344952,.094234996,-.023725679,.081006244,-.051222943,-.027362671,-.033845875,.097163513,-.029132241,.038693953,.1140972,-.01116698,-.040621243,.012887204,,-.047787521,.044551313,.058733933,.071369186,-.041384101,-.053441688,.14388594,.0069752713,.066097826,.015506055,.012521552,.053861205,.042492542,.023968942,-.067591704,.045071878,.38539609,.027793555,.062002264,-.024359487,-.0030422651,.013930617,.011895027,.05991669,,-.02060282,.05075058,.0062608547,.076131471,-.068447679,-.011749333
30jun2017,.0077999998,-.051116582,-.017094433,.13393694,.032758139,.062775292,.19739962,-.018835779,.10859516,.025721816,.0097816773,-.004856606,-.0002552545,.028740216,.063266955,.03132816,-.067199036,-.010876689,.067414619,.034960546,-.06745211,.0050615221,-.11468516,-.053937055,-.12714246,.086403817,.098253533,-.010316371,.085935377,-.10091028,.071345381,-.064320885,.024871653,.025775706,.082717389,.0026483384,.074052967,.072179139,.053885937,-.12648678,.028680962,.0058508087,-.0059827967,.033797305,.019186934,-.0022059996,.032642309,.017308781,.0310059,-.065684669,.011843092,.020363307,-.083370239,.030025179,.0051072999,-.04933247,.022569932,.0022753251,.056132581,.085374385,.064533077,.0082891192,.014165448,.1061606,.057171997,-.017455064,-.0027860003,-.02170088,-.0074715535,,-.071082003,-.008478038,-.0066597741,-.083817706,.014222972,.099495098,-.029855963,-.038712852,.0142444,-.0083391899,.030462069,-.0058977259,-.063804202,.10467415,.046284333,.010547105,.0014047994,.0012210555,.059326779,.11921606,.057459947,.032596022,.01973301,-.029253768,,.0097220177,.095167994,-.065682776,-.035845362,-.011654689,.014361527
31jul2017,.0187,-.0014207343,.035175025,-.054813378,.028246026,.034403969,.0020028141,-.07499671,-.0014549794,.00042653686,-.026326725,-.12762648,-.072117455,-.012859782,-.0027905486,.047010273,.10417927,-.039335985,.0069765337,.032179885,.064234376,-.014390243,.055396769,.041861478,-.03934129,.012760621,-.027249001,.049282849,.001033771,.017097721,-.034461342,.033797346,-.044903982,.016505616,.044078674,-.003514363,.043030508,.43141955,.22603522,-.037339035,.028887842,-.044043113,.016616588,-.042892091,-.009495263,.021675274,.03888588,.019172428,.088259228,.096932784,.024481533,.018896963,-.074316606,-.0075691678,.0049221022,.10710755,.0030313521,.052927498,.082837701,.017412636,-.078728057,-.0056495713,.037889715,.038947575,-.030714644,.061737157,.094248936,.0018434647,.039890394,,.054784346,-.0033349849,.062874869,.21579067,.0069487249,.074962869,.05262208,.024441037,.018893624,.035465222,.02658947,.024950432,-.017951723,.023416553,-.011783208,.0060172095,.12411156,.069840111,-.045444585,-.17645179,.032339718,-.030341176,-.0097579509,-.020669967,.035235781,.041877106,-.0096897744,.051216096,-.036820363,-.028547201,.021883249
31aug2017,.0016,.038452938,.065686852,.022790855,.062842414,.036888659,.0036959974,.076289959,-.068260081,-.035742462,.055781074,-.024240006,-.053393584,.032836072,-.033636663,-.091912396,.04069937,.036931571,.041526504,-.0098068733,.017619764,.089286663,.031335577,-.074273251,-.1260459,.0090832291,.077024132,.033320669,-.040966913,.049389806,-.04199117,.091242366,.083414316,-.029063256,-.014217942,-.044465493,-.071979456,.011704042,-.005727795,.22953776,-.0014936645,-.055984005,.027044192,-.0046506813,.038032334,-.0048469719,-.060315028,-.023597006,.025426632,-.030095534,.026006171,-.0013704011,.020815209,-.14079466,.0013357962,.041018516,.070704959,-.10675988,.042220552,-.043107145,-.020986132,-.0068254238,-.09634877,-.0080123646,.016109116,.05812405,.032461859,.17599633,-.041952644,,.11790534,-.00038809038,-.0036872986,-.038333286,-.10045544,.10006957,.074158669,-.014249588,-.021599669,.011095011,.040639751,.038267434,-.0018588336,-.001608315,-.055662218,.066067539,.043486524,.001111507,-.072137713,-.062096376,.015589557,-.0077675236,-.046461366,-.0078312289,-.087694623,-.010472635,.010695087,-.0039436584,-.006486515,-.076633774,.0045454521
30sep2017,.0251,.030927643,.063443743,-.011997504,.053827118,-.011672564,.019392213,.097170271,.096165597,.060844231,.034746263,.010914814,.052507378,.05240142,.086481228,.041461047,-.028387753,-.015712408,.10323161,-.013960771,.082272261,-.021250473,.055318102,.10705087,.013845917,.092992671,.18000469,.014661297,.10925665,-.047208365,.074300006,.021158526,.077370845,.051408935,.014079561,.023750428,.063359238,.027223283,.060636006,.045126926,.015505114,.048321985,.045481145,.041527763,.051316861,.043392338,.031602584,.039866153,.025370784,.094321251,.020666795,.086173937,-.021037448,.031077651,.073311277,.058253657,.04094344,.13817656,.049229443,.0097257858,.01174804,.068122789,.088547722,.03744971,-.037702404,-.010286395,-.053788915,-.025801303,.027404619,,-.0099125318,.0098393345,-.005356208,.037930839,.045468263,-.026157675,-.039276388,.051301461,.019478936,.071766645,-.01412708,.056903064,.078869604,.069159172,.14299773,.011725456,.054988734,.06858658,-.0059783021,.073327295,.10448932,.040258773,-.066495687,.016815014,-.10495865,.069362141,-.0080667576,.085753337,-.0083015114,.080161005,.089504801
31oct2017,.022500001,.08736369,-.047949865,-.0030915914,-.026844738,.073297478,.07027676,-.0062758438,.025073608,.023447366,.090109617,.012539307,.037669227,-.018002182,.016339971,.038864061,.012969209,.033142589,.10000673,.06483952,.085475914,-.00011676039,-.053779967,-.082643807,-.17608306,-.0058604009,.022652952,.04145366,.031301316,-.030726962,-.013600306,.05564943,.031856667,.014666541,-.025199139,.031866457,.088750891,-.021957608,.014755261,.02509338,.021141404,.04513688,.021881383,.069683887,.055787671,.09515737,.0071591451,.020820893,.010546299,-.009523306,.04975253,.1267978,.020963909,-.070165642,-.030092645,.028144399,.07660684,.034072552,.14926651,.019972941,-.049578704,.037205953,.057971023,-.03712754,-.036617305,.048431788,.068689197,.029995281,.034400549,-.23217748,.013021492,-.13969706,.067352653,.083079122,-.025153911,-.074871346,.053060971,.072116345,.010697298,.037326612,.030641312,.027069448,-.025717352,.010373168,.0083887745,.024396459,.15677458,.032916401,-.046392962,.009825998,.10711256,.046382234,-.071580559,-.027701529,-.13299334,-.013847763,.093739972,.19451535,-.016085811,-.14180085,.020690648
